"Plot Title: Rollinson_B127"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 9663855, SEN S/N: 2445096)","Water Content, m³/m³ (LGR S/N: 9663855, SEN S/N: 9673988)","Temp, °C (LGR S/N: 9663855, SEN S/N: 10448527)","RH, % (LGR S/N: 9663855, SEN S/N: 10448527)","PAR, µmol/m²/s (LGR S/N: 9663855, SEN S/N: 20210396)"
70,07/25/19 07:48:55 AM,19.032,0.2668,18.842,78.100,8.7
71,07/25/19 08:48:55 AM,19.032,0.2668,20.555,73.000,16.2
72,07/25/19 09:48:55 AM,19.080,0.2661,22.321,66.600,21.2
73,07/25/19 10:48:55 AM,19.199,0.2654,23.713,61.800,88.7
74,07/25/19 11:48:55 AM,19.365,0.2647,24.992,60.200,113.7
75,07/25/19 12:48:55 PM,19.555,0.2639,26.061,59.100,41.2
76,07/25/19 01:48:55 PM,19.770,0.2632,26.402,55.900,263.7
77,07/25/19 02:48:55 PM,20.007,0.2618,26.598,54.500,33.7
78,07/25/19 03:48:55 PM,20.174,0.2618,26.622,53.500,88.7
79,07/25/19 04:48:55 PM,20.317,0.2603,26.720,52.900,23.7
80,07/25/19 05:48:55 PM,20.436,0.2596,26.402,52.200,13.7
81,07/25/19 06:48:55 PM,20.484,0.2589,26.012,52.300,6.2
82,07/25/19 07:48:55 PM,20.484,0.2589,24.847,52.700,1.2
83,07/25/19 08:48:55 PM,20.460,0.2581,23.809,56.900,1.2
84,07/25/19 09:48:55 PM,20.412,0.2574,23.016,62.500,1.2
85,07/25/19 10:48:55 PM,20.341,0.2574,22.274,66.800,1.2
86,07/25/19 11:48:55 PM,20.269,0.2567,21.676,69.700,1.2
87,07/26/19 12:48:55 AM,20.198,0.2560,21.151,72.500,1.2
88,07/26/19 01:48:55 AM,20.103,0.2581,21.079,73.600,1.2
89,07/26/19 02:48:55 AM,20.031,0.2567,20.341,75.600,1.2
90,07/26/19 03:48:55 AM,19.960,0.2574,19.793,77.900,1.2
91,07/26/19 04:48:55 AM,19.865,0.2574,19.365,80.200,1.2
92,07/26/19 05:48:55 AM,19.793,0.2567,19.555,81.200,1.2
93,07/26/19 06:48:55 AM,19.698,0.2567,19.936,80.300,1.2
94,07/26/19 07:48:55 AM,19.651,0.2567,20.984,77.300,6.2
95,07/26/19 08:48:55 AM,19.627,0.2560,21.628,76.800,18.7
96,07/26/19 09:48:55 AM,19.627,0.2560,22.321,76.100,21.2
97,07/26/19 10:48:55 AM,19.698,0.2552,23.400,74.900,31.2
98,07/26/19 11:48:55 AM,19.793,0.2545,24.750,72.500,68.7
99,07/26/19 12:48:55 PM,19.936,0.2538,26.256,70.000,51.2
100,07/26/19 01:48:55 PM,20.126,0.2530,26.744,64.400,91.2
101,07/26/19 02:48:55 PM,20.317,0.2523,26.793,62.100,43.7
102,07/26/19 03:48:55 PM,20.460,0.2509,27.899,63.000,58.7
103,07/26/19 04:48:55 PM,20.579,0.2494,27.554,60.700,21.2
104,07/26/19 05:48:55 PM,20.674,0.2487,27.284,60.200,16.2
105,07/26/19 06:48:55 PM,20.746,0.2480,27.431,61.600,8.7
106,07/26/19 07:48:55 PM,20.793,0.2472,26.524,60.800,1.2
107,07/26/19 08:48:55 PM,20.817,0.2472,25.768,63.500,1.2
108,07/26/19 09:48:55 PM,20.793,0.2472,25.016,65.700,1.2
109,07/26/19 10:48:55 PM,20.770,0.2465,24.412,70.200,1.2
110,07/26/19 11:48:55 PM,20.722,0.2465,24.098,73.800,1.2
111,07/27/19 12:48:55 AM,20.674,0.2458,23.497,74.300,1.2
112,07/27/19 01:48:55 AM,20.627,0.2458,22.800,76.800,1.2
113,07/27/19 02:48:55 AM,20.579,0.2458,22.106,78.400,1.2
114,07/27/19 03:48:55 AM,20.507,0.2458,21.915,79.000,1.2
115,07/27/19 04:48:55 AM,20.412,0.2451,21.700,78.900,1.2
116,07/27/19 05:48:55 AM,20.341,0.2451,21.461,80.300,1.2
117,07/27/19 06:48:55 AM,20.269,0.2451,21.891,80.200,1.2
118,07/27/19 07:48:55 AM,20.222,0.2443,22.944,78.100,11.2
119,07/27/19 08:48:55 AM,20.198,0.2443,24.339,73.900,16.2
120,07/27/19 09:48:55 AM,20.269,0.2436,25.404,72.100,21.2
121,07/27/19 10:48:55 AM,20.365,0.2422,26.769,67.700,61.2
122,07/27/19 11:48:55 AM,20.531,0.2414,27.628,64.700,73.7
123,07/27/19 12:48:55 PM,20.698,0.2400,28.394,62.400,38.7
124,07/27/19 01:48:55 PM,20.889,0.2392,29.065,60.400,178.7
125,07/27/19 02:48:55 PM,21.103,0.2378,29.365,58.400,66.2
126,07/27/19 03:48:55 PM,21.270,0.2363,29.165,59.200,98.7
127,07/27/19 04:48:55 PM,21.390,0.2349,29.140,58.200,21.2
128,07/27/19 05:48:55 PM,21.485,0.2342,28.990,60.000,11.2
129,07/27/19 06:48:55 PM,21.533,0.2334,28.518,61.400,6.2
130,07/27/19 07:48:55 PM,21.557,0.2327,27.456,63.400,1.2
131,07/27/19 08:48:55 PM,21.557,0.2320,26.475,66.800,1.2
132,07/27/19 09:48:55 PM,21.509,0.2320,25.793,68.700,1.2
133,07/27/19 10:48:55 PM,21.461,0.2313,25.550,68.600,1.2
134,07/27/19 11:48:55 PM,21.390,0.2313,25.016,69.000,1.2
135,07/28/19 12:48:55 AM,21.318,0.2313,24.436,72.100,1.2
136,07/28/19 01:48:55 AM,21.246,0.2313,23.978,75.400,1.2
137,07/28/19 02:48:55 AM,21.199,0.2305,23.328,78.800,1.2
138,07/28/19 03:48:55 AM,21.127,0.2305,22.633,82.100,1.2
139,07/28/19 04:48:55 AM,21.079,0.2298,22.130,85.000,1.2
140,07/28/19 05:48:55 AM,21.008,0.2298,21.939,87.100,1.2
141,07/28/19 06:48:55 AM,20.936,0.2298,22.058,87.600,1.2
142,07/28/19 07:48:55 AM,20.889,0.2298,23.016,87.000,11.2
143,07/28/19 08:48:55 AM,20.865,0.2298,24.605,83.200,16.2
144,07/28/19 09:48:55 AM,20.936,0.2291,26.256,78.500,21.2
145,07/28/19 10:48:55 AM,21.056,0.2291,27.801,75.100,58.7
146,07/28/19 11:48:55 AM,21.246,0.2284,28.493,69.600,91.2
147,07/28/19 12:48:55 PM,21.437,0.2276,28.543,66.100,48.7
148,07/28/19 01:48:55 PM,21.628,0.2262,29.340,67.200,66.2
149,07/28/19 02:48:55 PM,21.795,0.2254,29.991,59.400,38.7
150,07/28/19 03:48:55 PM,21.915,0.2240,30.268,56.300,71.2
151,07/28/19 04:48:55 PM,22.011,0.2225,29.991,55.700,21.2
152,07/28/19 05:48:55 PM,22.082,0.2218,29.190,55.800,13.7
153,07/28/19 06:48:55 PM,22.106,0.2211,28.866,58.500,8.7
154,07/28/19 07:48:55 PM,22.106,0.2204,28.097,61.200,1.2
155,07/28/19 08:48:55 PM,22.058,0.2204,27.407,64.000,1.2
156,07/28/19 09:48:55 PM,22.034,0.2196,26.818,66.500,1.2
157,07/28/19 10:48:55 PM,21.963,0.2196,26.207,68.800,1.2
158,07/28/19 11:48:55 PM,21.915,0.2196,25.477,71.800,1.2
159,07/29/19 12:48:55 AM,21.843,0.2189,24.919,75.300,1.2
160,07/29/19 01:48:55 AM,21.772,0.2189,24.992,75.500,1.2
161,07/29/19 02:48:55 AM,21.700,0.2182,24.726,74.500,1.2
162,07/29/19 03:48:55 AM,21.628,0.2182,24.315,76.100,1.2
163,07/29/19 04:48:55 AM,21.557,0.2182,24.002,78.800,1.2
164,07/29/19 05:48:55 AM,21.509,0.2175,23.930,80.600,1.2
165,07/29/19 06:48:55 AM,21.461,0.2196,21.795,88.800,1.2
166,07/29/19 07:48:55 AM,21.413,0.2204,21.987,96.400,1.2
167,07/29/19 08:48:55 AM,21.366,0.2204,22.321,96.500,6.2
168,07/29/19 09:48:55 AM,21.342,0.2204,22.441,96.300,6.2
169,07/29/19 10:48:55 AM,21.342,0.2204,22.537,95.400,8.7
170,07/29/19 11:48:55 AM,21.342,0.2204,23.785,95.900,13.7
171,07/29/19 12:48:55 PM,21.390,0.2225,22.106,94.900,8.7
172,07/29/19 01:48:55 PM,21.413,0.2225,23.208,97.500,38.7
173,07/29/19 02:48:55 PM,21.461,0.2225,24.798,93.700,36.2
174,07/29/19 03:48:55 PM,21.581,0.2225,25.671,86.600,56.2
175,07/29/19 04:48:55 PM,21.700,0.2225,22.154,88.400,3.7
176,07/29/19 05:48:55 PM,21.700,0.2233,24.195,95.300,16.2
177,07/29/19 06:48:55 PM,21.700,0.2233,23.857,91.200,6.2
178,07/29/19 07:48:55 PM,21.724,0.2225,22.633,87.300,1.2
179,07/29/19 08:48:55 PM,21.676,0.2225,22.178,84.400,1.2
180,07/29/19 09:48:55 PM,21.581,0.2233,21.939,85.400,1.2
181,07/29/19 10:48:55 PM,21.485,0.2233,21.390,83.200,1.2
182,07/29/19 11:48:55 PM,21.390,0.2225,20.936,86.700,1.2
183,07/30/19 12:48:55 AM,21.294,0.2225,20.460,88.900,1.2
184,07/30/19 01:48:55 AM,21.199,0.2225,19.865,91.100,1.2
185,07/30/19 02:48:55 AM,21.103,0.2225,19.341,92.800,1.2
186,07/30/19 03:48:55 AM,20.960,0.2225,19.175,94.600,1.2
187,07/30/19 04:48:55 AM,20.841,0.2225,19.032,94.700,1.2
188,07/30/19 05:48:55 AM,20.746,0.2225,18.319,94.800,1.2
189,07/30/19 06:48:55 AM,20.627,0.2225,18.604,96.600,1.2
190,07/30/19 07:48:55 AM,20.531,0.2225,19.912,94.800,13.7
191,07/30/19 08:48:55 AM,20.484,0.2225,21.390,88.200,11.2
192,07/30/19 09:48:55 AM,20.531,0.2225,22.657,82.000,18.7
193,07/30/19 10:48:55 AM,20.627,0.2218,23.376,78.400,51.2
194,07/30/19 11:48:55 AM,20.746,0.2218,24.219,75.700,51.2
195,07/30/19 12:48:55 PM,20.913,0.2218,24.702,73.000,46.2
196,07/30/19 01:48:55 PM,21.079,0.2218,25.040,71.400,96.2
197,07/30/19 02:48:55 PM,21.199,0.2211,24.315,68.300,36.2
198,07/30/19 03:48:55 PM,21.294,0.2211,23.328,70.500,46.2
199,07/30/19 04:48:55 PM,21.318,0.2211,22.848,74.800,16.2
200,07/30/19 05:48:55 PM,21.270,0.2204,22.393,75.100,11.2
201,07/30/19 06:48:55 PM,21.199,0.2204,21.652,74.800,6.2
202,07/30/19 07:48:55 PM,21.103,0.2196,21.056,73.500,1.2
203,07/30/19 08:48:55 PM,20.984,0.2196,19.698,75.600,1.2
204,07/30/19 09:48:55 PM,20.841,0.2196,19.508,77.400,1.2
205,07/30/19 10:48:55 PM,20.674,0.2189,18.152,84.100,1.2
206,07/30/19 11:48:55 PM,20.531,0.2189,17.558,86.200,1.2
207,07/31/19 12:48:55 AM,20.365,0.2182,17.463,89.900,1.2
208,07/31/19 01:48:55 AM,20.198,0.2189,16.487,92.700,1.2
209,07/31/19 02:48:55 AM,20.055,0.2182,16.010,95.200,1.2
210,07/31/19 03:48:55 AM,19.912,0.2182,15.819,95.700,1.2
211,07/31/19 04:48:55 AM,19.746,0.2182,15.605,96.400,1.2
212,07/31/19 05:48:55 AM,19.603,0.2175,15.557,96.700,1.2
213,07/31/19 06:48:55 AM,19.460,0.2175,15.652,97.000,1.2
214,07/31/19 07:48:55 AM,19.341,0.2175,17.653,96.500,16.2
215,07/31/19 08:48:55 AM,19.294,0.2175,19.246,86.000,11.2
216,07/31/19 09:48:55 AM,19.341,0.2182,20.650,73.400,16.2
217,07/31/19 10:48:55 AM,19.389,0.2175,21.437,67.100,36.2
218,07/31/19 11:48:55 AM,19.484,0.2167,21.795,63.500,38.7
219,07/31/19 12:48:55 PM,19.603,0.2160,22.681,60.800,28.7
220,07/31/19 01:48:55 PM,19.698,0.2160,22.705,59.700,196.2
221,07/31/19 02:48:55 PM,19.817,0.2153,22.896,59.500,23.7
222,07/31/19 03:48:55 PM,19.912,0.2146,23.064,59.700,66.2
223,07/31/19 04:48:55 PM,19.984,0.2138,22.824,57.800,18.7
224,07/31/19 05:48:55 PM,20.031,0.2131,22.250,60.600,11.2
225,07/31/19 06:48:55 PM,20.007,0.2131,21.223,66.200,6.2
226,07/31/19 07:48:55 PM,19.984,0.2124,19.888,66.200,1.2
227,07/31/19 08:48:55 PM,19.888,0.2116,18.010,73.200,1.2
228,07/31/19 09:48:55 PM,19.770,0.2116,17.106,80.900,1.2
229,07/31/19 10:48:55 PM,19.603,0.2109,16.439,84.600,1.2
230,07/31/19 11:48:55 PM,19.460,0.2109,15.772,84.800,1.2
231,08/01/19 12:48:55 AM,19.294,0.2109,15.151,86.400,1.2
232,08/01/19 01:48:55 AM,19.151,0.2109,15.318,90.000,1.2
233,08/01/19 02:48:55 AM,18.985,0.2102,14.840,87.500,1.2
234,08/01/19 03:48:55 AM,18.842,0.2102,14.553,90.100,1.2
235,08/01/19 04:48:55 AM,18.723,0.2102,14.146,91.300,1.2
236,08/01/19 05:48:55 AM,18.580,0.2102,13.834,93.000,1.2
237,08/01/19 06:48:55 AM,18.414,0.2102,14.816,93.300,1.2
238,08/01/19 07:48:55 AM,18.319,0.2102,17.272,91.700,13.7
239,08/01/19 08:48:55 AM,18.319,0.2102,20.126,88.600,11.2
240,08/01/19 09:48:55 AM,18.461,0.2102,21.915,79.700,16.2
241,08/01/19 10:48:55 AM,18.652,0.2102,23.497,70.600,48.7
242,08/01/19 11:48:55 AM,18.913,0.2095,24.412,63.200,41.2
243,08/01/19 12:48:55 PM,19.175,0.2095,25.331,59.200,38.7
244,08/01/19 01:48:55 PM,19.413,0.2087,24.291,61.800,138.7
245,08/01/19 02:48:55 PM,19.627,0.2080,25.477,61.500,28.7
246,08/01/19 03:48:55 PM,19.793,0.2066,25.186,61.800,38.7
247,08/01/19 04:48:55 PM,19.936,0.2058,24.798,61.100,16.2
248,08/01/19 05:48:55 PM,20.031,0.2058,24.267,60.100,11.2
249,08/01/19 06:48:55 PM,20.055,0.2058,23.448,57.700,6.2
250,08/01/19 07:48:55 PM,20.031,0.2051,22.705,55.300,1.2
251,08/01/19 08:48:55 PM,19.960,0.2044,19.841,59.400,1.2
252,08/01/19 09:48:55 PM,19.841,0.2037,18.913,64.100,1.2
253,08/01/19 10:48:55 PM,19.698,0.2037,18.366,72.100,1.2
254,08/01/19 11:48:55 PM,19.532,0.2029,17.962,79.700,1.2
255,08/02/19 12:48:55 AM,19.389,0.2029,16.987,85.700,1.2
256,08/02/19 01:48:55 AM,19.270,0.2029,16.296,89.700,1.2
257,08/02/19 02:48:55 AM,19.151,0.2022,16.487,91.200,1.2
258,08/02/19 03:48:55 AM,19.032,0.2022,16.225,92.700,1.2
259,08/02/19 04:48:55 AM,18.913,0.2022,15.986,94.100,1.2
260,08/02/19 05:48:55 AM,18.818,0.2022,15.652,95.600,1.2
261,08/02/19 06:48:55 AM,18.723,0.2022,16.511,96.100,1.2
262,08/02/19 07:48:55 AM,18.652,0.2015,18.652,94.800,11.2
263,08/02/19 08:48:55 AM,18.675,0.2015,21.390,88.000,13.7
264,08/02/19 09:48:55 AM,18.818,0.2037,23.184,76.000,18.7
265,08/02/19 10:48:55 AM,19.008,0.2029,24.484,66.900,43.7
266,08/02/19 11:48:55 AM,19.246,0.2029,25.258,60.600,41.2
267,08/02/19 12:48:55 PM,19.460,0.2022,26.061,59.900,33.7
268,08/02/19 01:48:55 PM,19.674,0.2015,26.842,55.300,191.2
269,08/02/19 02:48:55 PM,19.888,0.2015,26.793,56.200,33.7
270,08/02/19 03:48:55 PM,20.103,0.2008,26.475,55.300,36.2
271,08/02/19 04:48:55 PM,20.222,0.2000,26.036,53.900,16.2
272,08/02/19 05:48:55 PM,20.293,0.1993,25.453,55.500,11.2
273,08/02/19 06:48:55 PM,20.317,0.1993,24.339,55.000,6.2
274,08/02/19 07:48:55 PM,20.317,0.1986,23.112,55.300,1.2
275,08/02/19 08:48:55 PM,20.246,0.1978,22.178,56.800,1.2
276,08/02/19 09:48:55 PM,20.174,0.1978,21.366,58.100,1.2
277,08/02/19 10:48:55 PM,20.055,0.1978,20.460,64.500,1.2
278,08/02/19 11:48:55 PM,19.960,0.1971,19.984,72.700,1.2
279,08/03/19 12:48:55 AM,19.841,0.1971,19.080,78.300,1.2
280,08/03/19 01:48:55 AM,19.746,0.1971,18.438,83.000,1.2
281,08/03/19 02:48:55 AM,19.627,0.1964,18.010,88.000,1.2
282,08/03/19 03:48:55 AM,19.508,0.1964,17.701,91.700,1.2
283,08/03/19 04:48:55 AM,19.413,0.1957,17.391,90.900,1.2
284,08/03/19 05:48:55 AM,19.294,0.1964,17.106,91.800,1.2
285,08/03/19 06:48:55 AM,19.199,0.1957,17.724,92.600,1.2
286,08/03/19 07:48:55 AM,19.127,0.1964,19.627,92.500,8.7
287,08/03/19 08:48:55 AM,19.151,0.1964,21.867,87.200,11.2
288,08/03/19 09:48:55 AM,19.246,0.1964,23.761,71.300,18.7
289,08/03/19 10:48:55 AM,19.413,0.1957,25.550,58.600,56.2
290,08/03/19 11:48:55 AM,19.651,0.1949,26.965,52.100,28.7
291,08/03/19 12:48:55 PM,19.865,0.1949,27.505,47.700,31.2
292,08/03/19 01:48:55 PM,20.055,0.1949,28.394,45.400,271.2
293,08/03/19 02:48:55 PM,20.269,0.1942,28.543,46.300,28.7
294,08/03/19 03:48:55 PM,20.460,0.1935,27.751,52.400,31.2
295,08/03/19 04:48:55 PM,20.579,0.1928,27.481,53.700,18.7
296,08/03/19 05:48:55 PM,20.698,0.1928,27.431,54.500,11.2
297,08/03/19 06:48:55 PM,20.793,0.1920,26.598,55.500,8.7
298,08/03/19 07:48:55 PM,20.817,0.1920,26.036,55.200,1.2
299,08/03/19 08:48:55 PM,20.817,0.1913,24.484,60.100,1.2
300,08/03/19 09:48:55 PM,20.793,0.1913,24.581,62.200,1.2
301,08/03/19 10:48:55 PM,20.746,0.1913,24.171,65.100,1.2
302,08/03/19 11:48:55 PM,20.698,0.1913,23.617,63.300,1.2
303,08/04/19 12:48:55 AM,20.650,0.1906,22.896,64.400,1.2
304,08/04/19 01:48:55 AM,20.579,0.1906,22.154,71.000,1.2
305,08/04/19 02:48:55 AM,20.507,0.1899,22.298,73.000,1.2
306,08/04/19 03:48:55 AM,20.436,0.1899,21.199,75.600,1.2
307,08/04/19 04:48:55 AM,20.365,0.1899,20.865,83.000,1.2
308,08/04/19 05:48:55 AM,20.293,0.1899,20.865,85.800,1.2
309,08/04/19 06:48:55 AM,20.246,0.1899,20.722,87.900,1.2
310,08/04/19 07:48:55 AM,20.198,0.1899,21.246,91.400,3.7
311,08/04/19 08:48:55 AM,20.174,0.1899,22.633,90.600,13.7
312,08/04/19 09:48:55 AM,20.246,0.1899,24.653,84.400,23.7
313,08/04/19 10:48:55 AM,20.365,0.1891,25.866,77.500,43.7
314,08/04/19 11:48:55 AM,20.579,0.1891,26.989,69.200,31.2
315,08/04/19 12:48:55 PM,20.770,0.1891,27.899,63.600,38.7
316,08/04/19 01:48:55 PM,20.960,0.1884,28.270,61.500,273.7
317,08/04/19 02:48:55 PM,21.151,0.1877,27.604,60.600,28.7
318,08/04/19 03:48:55 PM,21.294,0.1870,27.161,62.000,26.2
319,08/04/19 04:48:55 PM,21.390,0.1870,26.695,66.700,11.2
320,08/04/19 05:48:55 PM,21.413,0.1862,26.256,71.400,3.7
321,08/04/19 06:48:55 PM,21.413,0.1862,25.987,73.600,8.7
322,08/04/19 07:48:55 PM,21.413,0.1862,25.283,74.300,1.2
323,08/04/19 08:48:55 PM,21.390,0.1855,24.146,76.700,1.2
324,08/04/19 09:48:55 PM,21.342,0.1855,23.184,78.500,1.2
325,08/04/19 10:48:55 PM,21.246,0.1855,22.513,82.300,1.2
326,08/04/19 11:48:55 PM,21.151,0.1848,22.034,85.400,1.2
327,08/05/19 12:48:55 AM,21.056,0.1848,21.461,86.700,1.2
328,08/05/19 01:48:55 AM,20.960,0.1848,21.199,88.500,1.2
329,08/05/19 02:48:55 AM,20.865,0.1848,20.627,89.600,1.2
330,08/05/19 03:48:55 AM,20.770,0.1840,20.484,90.600,1.2
331,08/05/19 04:48:55 AM,20.698,0.1840,20.269,92.600,1.2
332,08/05/19 05:48:55 AM,20.603,0.1840,20.889,92.000,1.2
333,08/05/19 06:48:55 AM,20.531,0.1840,21.151,87.100,1.2
334,08/05/19 07:48:55 AM,20.460,0.1840,22.298,84.400,8.7
335,08/05/19 08:48:55 AM,20.460,0.1840,24.653,77.600,11.2
336,08/05/19 09:48:55 AM,20.555,0.1840,26.256,75.500,18.7
337,08/05/19 10:48:55 AM,20.722,0.1840,27.554,70.900,36.2
338,08/05/19 11:48:55 AM,20.984,0.1833,27.825,68.600,33.7
339,08/05/19 12:48:55 PM,21.175,0.1833,28.766,66.900,41.2
340,08/05/19 01:48:55 PM,21.366,0.1826,28.394,63.600,131.2
341,08/05/19 02:48:55 PM,21.509,0.1819,29.015,58.600,43.7
342,08/05/19 03:48:55 PM,21.676,0.1819,29.740,57.700,38.7
343,08/05/19 04:48:55 PM,21.772,0.1811,29.640,54.300,21.2
344,08/05/19 05:48:55 PM,21.843,0.1804,29.715,52.000,11.2
345,08/05/19 06:48:55 PM,21.843,0.1797,28.593,55.100,6.2
346,08/05/19 07:48:55 PM,21.819,0.1797,27.899,58.800,1.2
347,08/05/19 08:48:55 PM,21.819,0.1790,26.744,64.600,1.2
348,08/05/19 09:48:55 PM,21.748,0.1790,25.647,68.500,1.2
349,08/05/19 10:48:55 PM,21.700,0.1790,25.501,69.800,1.2
350,08/05/19 11:48:55 PM,21.652,0.1782,24.557,72.300,1.2
351,08/06/19 12:48:55 AM,21.581,0.1782,23.641,75.800,1.2
352,08/06/19 01:48:55 AM,21.485,0.1782,22.130,80.100,1.2
353,08/06/19 02:48:55 AM,21.366,0.1782,19.936,86.600,1.2
354,08/06/19 03:48:55 AM,21.223,0.1782,19.912,95.300,1.2
355,08/06/19 04:48:55 AM,21.079,0.1782,19.841,96.700,1.2
356,08/06/19 05:48:55 AM,20.960,0.1782,19.722,98.000,1.2
357,08/06/19 06:48:55 AM,20.865,0.1782,19.413,98.400,1.2
