"Plot Title: Rollinson_N115"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 9663852, SEN S/N: 2445098)","Water Content, m³/m³ (LGR S/N: 9663852, SEN S/N: 9673987)","PAR, µmol/m²/s (LGR S/N: 9663852, SEN S/N: 9680255)","Temp, °C (LGR S/N: 9663852, SEN S/N: 20210256)","RH, % (LGR S/N: 9663852, SEN S/N: 20210256)"
64,07/25/19 03:59:23 AM,18.842,0.0860,1.2,15.629,82.700
65,07/25/19 04:59:23 AM,18.771,0.0860,1.2,15.557,84.100
66,07/25/19 05:59:23 AM,18.675,0.0860,1.2,15.724,86.200
67,07/25/19 06:59:23 AM,18.604,0.0860,1.2,16.487,86.500
68,07/25/19 07:59:23 AM,18.557,0.0853,3.7,18.271,82.900
69,07/25/19 08:59:23 AM,18.509,0.0860,8.7,19.984,77.600
70,07/25/19 09:59:23 AM,18.485,0.0853,8.7,21.485,71.300
71,07/25/19 10:59:23 AM,18.509,0.0838,11.2,22.729,68.500
72,07/25/19 11:59:23 AM,18.557,0.0831,13.7,24.074,64.500
73,07/25/19 12:59:23 PM,18.628,0.0824,28.7,25.137,61.800
74,07/25/19 01:59:23 PM,18.723,0.0824,13.7,25.234,61.100
75,07/25/19 02:59:23 PM,18.818,0.0809,11.2,25.550,59.200
76,07/25/19 03:59:23 PM,18.913,0.0809,11.2,25.307,58.800
77,07/25/19 04:59:23 PM,18.985,0.0802,11.2,25.380,59.000
78,07/25/19 05:59:23 PM,19.056,0.0795,3.7,24.532,60.200
79,07/25/19 06:59:23 PM,19.103,0.0787,1.2,23.713,59.200
80,07/25/19 07:59:23 PM,19.127,0.0780,1.2,22.968,60.900
81,07/25/19 08:59:23 PM,19.127,0.0780,1.2,21.485,63.900
82,07/25/19 09:59:23 PM,19.127,0.0773,1.2,20.841,69.500
83,07/25/19 10:59:23 PM,19.103,0.0773,1.2,20.103,73.400
84,07/25/19 11:59:23 PM,19.080,0.0773,1.2,19.484,77.600
85,07/26/19 12:59:23 AM,19.056,0.0766,1.2,18.889,81.800
86,07/26/19 01:59:23 AM,19.008,0.0766,1.2,18.723,83.700
87,07/26/19 02:59:23 AM,18.961,0.0758,1.2,18.200,85.000
88,07/26/19 03:59:23 AM,18.937,0.0751,1.2,17.748,87.200
89,07/26/19 04:59:23 AM,18.889,0.0751,1.2,17.296,89.000
90,07/26/19 05:59:23 AM,18.818,0.0751,1.2,17.415,90.600
91,07/26/19 06:59:23 AM,18.771,0.0744,1.2,18.271,90.000
92,07/26/19 07:59:23 AM,18.723,0.0751,1.2,19.246,89.200
93,07/26/19 08:59:23 AM,18.699,0.0744,6.2,20.627,85.500
94,07/26/19 09:59:23 AM,18.675,0.0744,6.2,21.175,84.500
95,07/26/19 10:59:23 AM,18.699,0.0736,8.7,21.939,84.000
96,07/26/19 11:59:23 AM,18.747,0.0729,16.2,23.665,82.100
97,07/26/19 12:59:23 PM,18.794,0.0722,16.2,24.968,81.000
98,07/26/19 01:59:23 PM,18.866,0.0715,16.2,25.210,76.800
99,07/26/19 02:59:23 PM,18.961,0.0707,13.7,24.726,75.600
100,07/26/19 03:59:23 PM,19.032,0.0700,11.2,25.380,76.000
101,07/26/19 04:59:23 PM,19.103,0.0700,6.2,24.774,76.400
102,07/26/19 05:59:23 PM,19.175,0.0686,3.7,24.847,74.700
103,07/26/19 06:59:23 PM,19.246,0.0678,3.7,24.992,73.900
104,07/26/19 07:59:23 PM,19.270,0.0678,1.2,24.339,71.200
105,07/26/19 08:59:23 PM,19.318,0.0671,1.2,23.424,71.900
106,07/26/19 09:59:23 PM,19.318,0.0671,1.2,22.800,75.600
107,07/26/19 10:59:23 PM,19.318,0.0671,1.2,22.321,78.200
108,07/26/19 11:59:23 PM,19.318,0.0671,1.2,22.369,81.800
109,07/27/19 12:59:23 AM,19.294,0.0671,1.2,21.963,82.500
110,07/27/19 01:59:23 AM,19.294,0.0664,1.2,21.557,83.800
111,07/27/19 02:59:23 AM,19.294,0.0664,1.2,20.913,86.700
112,07/27/19 03:59:23 AM,19.270,0.0657,1.2,20.650,87.900
113,07/27/19 04:59:23 AM,19.246,0.0657,1.2,20.555,86.500
114,07/27/19 05:59:23 AM,19.222,0.0657,1.2,20.246,87.400
115,07/27/19 06:59:23 AM,19.199,0.0657,1.2,20.627,88.300
116,07/27/19 07:59:23 AM,19.175,0.0649,3.7,21.533,86.700
117,07/27/19 08:59:23 AM,19.151,0.0642,8.7,22.992,83.400
118,07/27/19 09:59:23 AM,19.175,0.0642,8.7,24.074,80.800
119,07/27/19 10:59:23 AM,19.199,0.0635,11.2,24.919,78.500
120,07/27/19 11:59:23 AM,19.246,0.0620,31.2,26.182,76.500
121,07/27/19 12:59:23 PM,19.341,0.0620,21.2,27.382,72.800
122,07/27/19 01:59:23 PM,19.436,0.0613,13.7,27.530,69.200
123,07/27/19 02:59:23 PM,19.532,0.0606,13.7,27.825,67.800
124,07/27/19 03:59:23 PM,19.627,0.0598,11.2,27.382,70.300
125,07/27/19 04:59:23 PM,19.722,0.0591,8.7,27.063,70.800
126,07/27/19 05:59:23 PM,19.793,0.0577,3.7,26.622,72.000
127,07/27/19 06:59:23 PM,19.841,0.0569,1.2,26.329,71.400
128,07/27/19 07:59:23 PM,19.888,0.0562,1.2,25.647,73.100
129,07/27/19 08:59:23 PM,19.912,0.0562,1.2,24.871,74.400
130,07/27/19 09:59:23 PM,19.936,0.0562,1.2,24.339,75.800
131,07/27/19 10:59:23 PM,19.912,0.0555,1.2,24.026,76.700
132,07/27/19 11:59:23 PM,19.912,0.0555,1.2,23.665,76.400
133,07/28/19 12:59:23 AM,19.888,0.0555,1.2,23.232,78.600
134,07/28/19 01:59:23 AM,19.865,0.0555,1.2,22.848,81.400
135,07/28/19 02:59:23 AM,19.865,0.0548,1.2,22.657,83.000
136,07/28/19 03:59:23 AM,19.841,0.0555,1.2,22.034,85.500
137,07/28/19 04:59:23 AM,19.793,0.0555,1.2,21.652,88.000
138,07/28/19 05:59:23 AM,19.770,0.0555,1.2,21.390,89.700
139,07/28/19 06:59:23 AM,19.746,0.0548,1.2,21.628,90.500
140,07/28/19 07:59:23 AM,19.722,0.0548,3.7,22.441,90.300
141,07/28/19 08:59:23 AM,19.698,0.0540,8.7,23.930,87.400
142,07/28/19 09:59:23 AM,19.698,0.0533,8.7,25.137,83.600
143,07/28/19 10:59:23 AM,19.722,0.0526,13.7,26.280,81.700
144,07/28/19 11:59:23 AM,19.793,0.0519,18.7,27.161,77.600
145,07/28/19 12:59:23 PM,19.865,0.0519,23.7,27.136,75.000
146,07/28/19 01:59:23 PM,19.960,0.0511,18.7,27.825,74.100
147,07/28/19 02:59:23 PM,20.055,0.0504,13.7,27.751,71.700
148,07/28/19 03:59:23 PM,20.126,0.0497,13.7,28.023,69.900
149,07/28/19 04:59:23 PM,20.198,0.0490,11.2,27.604,68.900
150,07/28/19 05:59:23 PM,20.269,0.0482,3.7,26.646,68.800
151,07/28/19 06:59:23 PM,20.317,0.0475,1.2,26.744,68.800
152,07/28/19 07:59:23 PM,20.341,0.0468,1.2,26.304,69.400
153,07/28/19 08:59:23 PM,20.341,0.0468,1.2,25.598,71.200
154,07/28/19 09:59:23 PM,20.341,0.0468,1.2,24.798,75.200
155,07/28/19 10:59:23 PM,20.341,0.0468,1.2,24.243,77.700
156,07/28/19 11:59:23 PM,20.317,0.0460,1.2,23.689,80.600
157,07/29/19 12:59:23 AM,20.293,0.0460,1.2,23.184,83.000
158,07/29/19 01:59:23 AM,20.269,0.0460,1.2,23.280,85.200
159,07/29/19 02:59:23 AM,20.222,0.0453,1.2,23.208,84.200
160,07/29/19 03:59:23 AM,20.198,0.0453,1.2,23.088,84.200
161,07/29/19 04:59:23 AM,20.174,0.0460,1.2,22.848,85.100
162,07/29/19 05:59:23 AM,20.150,0.0453,1.2,22.896,86.600
163,07/29/19 06:59:23 AM,20.126,0.0497,1.2,21.485,92.000
164,07/29/19 07:59:23 AM,20.126,0.0497,1.2,21.581,97.000
165,07/29/19 08:59:23 AM,20.103,0.0497,1.2,21.724,98.200
166,07/29/19 09:59:23 AM,20.079,0.0490,1.2,21.843,98.800
167,07/29/19 10:59:23 AM,20.079,0.0497,1.2,22.058,99.300
168,07/29/19 11:59:23 AM,20.055,0.0490,6.2,22.729,99.600
169,07/29/19 12:59:23 PM,20.079,0.0635,1.2,21.581,99.800
170,07/29/19 01:59:23 PM,20.103,0.0584,11.2,22.513,100.000
171,07/29/19 02:59:23 PM,20.150,0.0569,11.2,23.256,100.000
172,07/29/19 03:59:23 PM,20.174,0.0562,8.7,23.954,99.800
173,07/29/19 04:59:23 PM,20.222,0.0569,1.2,21.939,98.000
174,07/29/19 05:59:23 PM,20.246,0.0555,6.2,23.448,99.100
175,07/29/19 06:59:23 PM,20.269,0.0555,1.2,23.184,98.300
176,07/29/19 07:59:23 PM,20.269,0.0562,1.2,21.843,92.200
177,07/29/19 08:59:23 PM,20.269,0.0562,1.2,21.437,87.200
178,07/29/19 09:59:23 PM,20.246,0.0562,1.2,21.413,85.800
179,07/29/19 10:59:23 PM,20.222,0.0569,1.2,20.936,87.700
180,07/29/19 11:59:23 PM,20.174,0.0569,1.2,20.436,89.900
181,07/30/19 12:59:23 AM,20.126,0.0562,1.2,19.936,91.600
182,07/30/19 01:59:23 AM,20.079,0.0569,1.2,19.484,92.800
183,07/30/19 02:59:23 AM,20.007,0.0569,1.2,19.127,94.600
184,07/30/19 03:59:23 AM,19.960,0.0569,1.2,18.604,96.200
185,07/30/19 04:59:23 AM,19.888,0.0569,1.2,18.509,96.800
186,07/30/19 05:59:23 AM,19.841,0.0569,1.2,18.366,96.600
187,07/30/19 06:59:23 AM,19.770,0.0569,1.2,18.533,97.100
188,07/30/19 07:59:23 AM,19.698,0.0569,3.7,19.627,96.700
189,07/30/19 08:59:23 AM,19.651,0.0562,11.2,21.127,92.900
190,07/30/19 09:59:23 AM,19.627,0.0562,6.2,22.034,88.200
191,07/30/19 10:59:23 AM,19.651,0.0548,11.2,23.304,82.700
192,07/30/19 11:59:23 AM,19.698,0.0540,13.7,23.785,78.000
193,07/30/19 12:59:23 PM,19.746,0.0540,13.7,23.472,75.200
194,07/30/19 01:59:23 PM,19.793,0.0533,16.2,24.944,75.100
195,07/30/19 02:59:23 PM,19.841,0.0526,13.7,23.954,70.200
196,07/30/19 03:59:23 PM,19.888,0.0526,8.7,22.920,73.100
197,07/30/19 04:59:23 PM,19.912,0.0526,6.2,22.393,74.900
198,07/30/19 05:59:23 PM,19.936,0.0526,3.7,21.795,76.500
199,07/30/19 06:59:23 PM,19.912,0.0526,1.2,21.223,77.200
200,07/30/19 07:59:23 PM,19.912,0.0519,1.2,20.579,74.500
201,07/30/19 08:59:23 PM,19.865,0.0519,1.2,19.389,74.100
202,07/30/19 09:59:23 PM,19.817,0.0519,1.2,19.127,78.100
203,07/30/19 10:59:23 PM,19.746,0.0519,1.2,18.010,81.000
204,07/30/19 11:59:23 PM,19.674,0.0511,1.2,17.439,86.400
205,07/31/19 12:59:23 AM,19.603,0.0511,1.2,17.058,89.600
206,07/31/19 01:59:23 AM,19.532,0.0511,1.2,16.344,91.800
207,07/31/19 02:59:23 AM,19.436,0.0511,1.2,16.177,93.500
208,07/31/19 03:59:23 AM,19.341,0.0511,1.2,15.700,94.600
209,07/31/19 04:59:23 AM,19.246,0.0511,1.2,15.079,95.900
210,07/31/19 05:59:23 AM,19.151,0.0511,1.2,15.008,96.900
211,07/31/19 06:59:23 AM,19.056,0.0511,1.2,15.438,97.500
212,07/31/19 07:59:23 AM,18.985,0.0511,1.2,17.272,97.500
213,07/31/19 08:59:23 AM,18.913,0.0519,11.2,19.056,89.300
214,07/31/19 09:59:23 AM,18.889,0.0511,6.2,20.103,77.400
215,07/31/19 10:59:23 AM,18.889,0.0504,11.2,21.008,67.900
216,07/31/19 11:59:23 AM,18.913,0.0504,16.2,21.557,63.500
217,07/31/19 12:59:23 PM,18.937,0.0482,16.2,22.034,60.300
218,07/31/19 01:59:23 PM,18.961,0.0482,11.2,22.202,58.400
219,07/31/19 02:59:23 PM,19.008,0.0482,8.7,22.705,57.600
220,07/31/19 03:59:23 PM,19.032,0.0475,16.2,22.776,58.600
221,07/31/19 04:59:23 PM,19.056,0.0468,6.2,22.537,58.100
222,07/31/19 05:59:23 PM,19.080,0.0475,3.7,21.628,62.800
223,07/31/19 06:59:23 PM,19.080,0.0468,1.2,20.889,68.100
224,07/31/19 07:59:23 PM,19.080,0.0468,1.2,19.413,66.300
225,07/31/19 08:59:23 PM,19.080,0.0468,1.2,18.295,71.300
226,07/31/19 09:59:23 PM,19.032,0.0453,1.2,17.225,77.400
227,07/31/19 10:59:23 PM,18.961,0.0453,1.2,16.511,80.300
228,07/31/19 11:59:23 PM,18.889,0.0453,1.2,15.366,83.700
229,08/01/19 12:59:23 AM,18.794,0.0453,1.2,15.055,87.000
230,08/01/19 01:59:23 AM,18.723,0.0453,1.2,14.673,88.000
231,08/01/19 02:59:23 AM,18.628,0.0453,1.2,14.314,89.600
232,08/01/19 03:59:23 AM,18.533,0.0453,1.2,14.074,91.600
233,08/01/19 04:59:23 AM,18.438,0.0460,1.2,13.858,92.000
234,08/01/19 05:59:23 AM,18.343,0.0460,1.2,13.522,93.200
235,08/01/19 06:59:23 AM,18.247,0.0460,1.2,14.505,93.900
236,08/01/19 07:59:23 AM,18.176,0.0446,1.2,16.249,93.500
237,08/01/19 08:59:23 AM,18.129,0.0439,18.7,19.127,90.700
238,08/01/19 09:59:23 AM,18.129,0.0453,6.2,21.270,83.100
239,08/01/19 10:59:23 AM,18.176,0.0439,8.7,22.585,74.700
240,08/01/19 11:59:23 AM,18.271,0.0439,16.2,23.689,68.900
241,08/01/19 12:59:23 PM,18.366,0.0431,26.2,24.944,60.100
242,08/01/19 01:59:23 PM,18.461,0.0424,11.2,24.484,65.500
243,08/01/19 02:59:23 PM,18.557,0.0424,8.7,24.219,62.400
244,08/01/19 03:59:23 PM,18.652,0.0417,11.2,24.726,63.000
245,08/01/19 04:59:23 PM,18.723,0.0410,6.2,24.412,60.700
246,08/01/19 05:59:23 PM,18.794,0.0410,3.7,23.954,60.000
247,08/01/19 06:59:23 PM,18.842,0.0410,1.2,23.016,58.900
248,08/01/19 07:59:23 PM,18.866,0.0410,1.2,21.748,59.100
249,08/01/19 08:59:23 PM,18.866,0.0410,1.2,20.103,57.000
250,08/01/19 09:59:23 PM,18.866,0.0410,1.2,18.580,61.800
251,08/01/19 10:59:23 PM,18.794,0.0395,1.2,17.082,73.000
252,08/01/19 11:59:23 PM,18.723,0.0395,1.2,16.177,81.600
253,08/02/19 12:59:23 AM,18.652,0.0402,1.2,15.557,88.300
254,08/02/19 01:59:23 AM,18.557,0.0395,1.2,15.557,91.700
255,08/02/19 02:59:23 AM,18.485,0.0402,1.2,16.034,93.200
256,08/02/19 03:59:23 AM,18.414,0.0402,1.2,15.318,94.100
257,08/02/19 04:59:23 AM,18.343,0.0402,1.2,15.724,95.300
258,08/02/19 05:59:23 AM,18.271,0.0395,1.2,15.485,95.800
259,08/02/19 06:59:23 AM,18.200,0.0395,1.2,15.772,96.400
260,08/02/19 07:59:23 AM,18.152,0.0395,1.2,17.724,96.500
261,08/02/19 08:59:23 AM,18.129,0.0402,8.7,21.056,92.300
262,08/02/19 09:59:23 AM,18.152,0.0395,6.2,22.298,78.800
263,08/02/19 10:59:23 AM,18.200,0.0388,11.2,23.689,68.400
264,08/02/19 11:59:23 AM,18.295,0.0381,11.2,24.267,64.800
265,08/02/19 12:59:23 PM,18.390,0.0373,13.7,25.307,62.000
266,08/02/19 01:59:23 PM,18.485,0.0373,13.7,26.158,56.700
267,08/02/19 02:59:23 PM,18.604,0.0366,11.2,25.428,60.200
268,08/02/19 03:59:23 PM,18.699,0.0359,11.2,25.550,58.300
269,08/02/19 04:59:23 PM,18.771,0.0359,6.2,25.453,53.700
270,08/02/19 05:59:23 PM,18.842,0.0359,3.7,24.702,55.100
271,08/02/19 06:59:23 PM,18.889,0.0352,1.2,23.641,57.000
272,08/02/19 07:59:23 PM,18.913,0.0352,1.2,22.441,56.500
273,08/02/19 08:59:23 PM,18.913,0.0359,1.2,21.175,60.200
274,08/02/19 09:59:23 PM,18.889,0.0352,1.2,20.484,62.900
275,08/02/19 10:59:23 PM,18.866,0.0352,1.2,19.222,71.200
276,08/02/19 11:59:23 PM,18.818,0.0352,1.2,18.485,77.600
277,08/03/19 12:59:23 AM,18.771,0.0337,1.2,17.819,83.000
278,08/03/19 01:59:23 AM,18.699,0.0337,1.2,16.963,87.100
279,08/03/19 02:59:23 AM,18.628,0.0337,1.2,16.558,90.000
280,08/03/19 03:59:23 AM,18.557,0.0344,1.2,15.939,92.100
281,08/03/19 04:59:23 AM,18.485,0.0337,1.2,16.106,93.500
282,08/03/19 05:59:23 AM,18.414,0.0344,1.2,15.986,93.900
283,08/03/19 06:59:23 AM,18.366,0.0337,1.2,16.654,94.700
284,08/03/19 07:59:23 AM,18.295,0.0337,1.2,18.509,94.100
285,08/03/19 08:59:23 AM,18.271,0.0344,6.2,21.270,89.500
286,08/03/19 09:59:23 AM,18.271,0.0337,6.2,22.896,71.600
287,08/03/19 10:59:23 AM,18.343,0.0330,13.7,24.677,62.400
288,08/03/19 11:59:23 AM,18.414,0.0322,11.2,25.404,56.500
289,08/03/19 12:59:23 PM,18.509,0.0322,21.2,26.916,50.300
290,08/03/19 01:59:23 PM,18.604,0.0315,13.7,27.235,47.700
291,08/03/19 02:59:23 PM,18.699,0.0315,13.7,27.604,45.700
292,08/03/19 03:59:23 PM,18.818,0.0308,11.2,27.210,51.200
293,08/03/19 04:59:23 PM,18.889,0.0301,8.7,27.136,53.800
294,08/03/19 05:59:23 PM,18.961,0.0301,3.7,26.744,53.700
295,08/03/19 06:59:23 PM,19.032,0.0293,1.2,25.939,57.800
296,08/03/19 07:59:23 PM,19.080,0.0293,1.2,24.847,57.800
297,08/03/19 08:59:23 PM,19.103,0.0293,1.2,24.219,61.900
298,08/03/19 09:59:23 PM,19.103,0.0293,1.2,23.136,69.200
299,08/03/19 10:59:23 PM,19.127,0.0293,1.2,23.497,65.300
300,08/03/19 11:59:23 PM,19.103,0.0286,1.2,22.465,68.100
301,08/04/19 12:59:23 AM,19.103,0.0293,1.2,21.987,71.700
302,08/04/19 01:59:23 AM,19.080,0.0293,1.2,21.628,75.200
303,08/04/19 02:59:23 AM,19.056,0.0293,1.2,20.936,77.400
304,08/04/19 03:59:23 AM,19.032,0.0293,1.2,20.722,81.800
305,08/04/19 04:59:23 AM,19.008,0.0293,1.2,20.817,82.600
306,08/04/19 05:59:23 AM,18.961,0.0293,1.2,20.174,87.200
307,08/04/19 06:59:23 AM,18.937,0.0293,1.2,20.650,89.000
308,08/04/19 07:59:23 AM,18.913,0.0293,1.2,20.960,90.700
309,08/04/19 08:59:23 AM,18.889,0.0286,6.2,22.537,91.000
310,08/04/19 09:59:23 AM,18.913,0.0279,8.7,24.219,85.200
311,08/04/19 10:59:23 AM,18.961,0.0279,13.7,25.162,79.800
312,08/04/19 11:59:23 AM,19.032,0.0272,11.2,26.353,73.000
313,08/04/19 12:59:23 PM,19.127,0.0272,16.2,26.549,66.200
314,08/04/19 01:59:23 PM,19.222,0.0264,13.7,27.875,62.600
315,08/04/19 02:59:23 PM,19.294,0.0264,8.7,27.161,61.800
316,08/04/19 03:59:23 PM,19.389,0.0257,6.2,26.378,63.800
317,08/04/19 04:59:23 PM,19.436,0.0257,6.2,25.623,68.600
318,08/04/19 05:59:23 PM,19.484,0.0257,1.2,25.598,74.800
319,08/04/19 06:59:23 PM,19.532,0.0250,1.2,25.258,76.200
320,08/04/19 07:59:23 PM,19.555,0.0250,1.2,24.677,76.300
321,08/04/19 08:59:23 PM,19.555,0.0250,1.2,23.352,78.700
322,08/04/19 09:59:23 PM,19.555,0.0250,1.2,22.441,81.500
323,08/04/19 10:59:23 PM,19.555,0.0257,1.2,21.652,85.000
324,08/04/19 11:59:23 PM,19.532,0.0257,1.2,20.793,89.200
325,08/05/19 12:59:23 AM,19.484,0.0250,1.2,20.603,91.100
326,08/05/19 01:59:23 AM,19.436,0.0257,1.2,19.960,91.900
327,08/05/19 02:59:23 AM,19.389,0.0250,1.2,19.722,93.400
328,08/05/19 03:59:23 AM,19.341,0.0250,1.2,19.341,94.500
329,08/05/19 04:59:23 AM,19.294,0.0250,1.2,19.270,95.400
330,08/05/19 05:59:23 AM,19.246,0.0250,1.2,19.294,95.700
331,08/05/19 06:59:23 AM,19.199,0.0250,1.2,19.912,95.300
332,08/05/19 07:59:23 AM,19.151,0.0250,1.2,21.700,90.700
333,08/05/19 08:59:23 AM,19.127,0.0235,3.7,23.617,83.700
334,08/05/19 09:59:23 AM,19.151,0.0235,6.2,25.380,79.100
335,08/05/19 10:59:23 AM,19.199,0.0235,11.2,26.158,74.400
336,08/05/19 11:59:23 AM,19.270,0.0228,8.7,26.207,71.600
337,08/05/19 12:59:23 PM,19.365,0.0228,11.2,27.382,71.800
338,08/05/19 01:59:23 PM,19.460,0.0228,11.2,27.333,68.100
339,08/05/19 02:59:23 PM,19.555,0.0221,11.2,27.751,64.300
340,08/05/19 03:59:23 PM,19.627,0.0221,13.7,27.333,64.900
341,08/05/19 04:59:23 PM,19.698,0.0214,13.7,26.989,63.700
342,08/05/19 05:59:23 PM,19.770,0.0206,3.7,26.965,63.200
343,08/05/19 06:59:23 PM,19.793,0.0206,1.2,26.891,62.900
344,08/05/19 07:59:23 PM,19.817,0.0206,1.2,26.012,65.400
345,08/05/19 08:59:23 PM,19.841,0.0206,1.2,24.992,70.200
346,08/05/19 09:59:23 PM,19.841,0.0206,1.2,24.436,74.100
347,08/05/19 10:59:23 PM,19.841,0.0199,1.2,24.171,74.400
348,08/05/19 11:59:23 PM,19.841,0.0199,1.2,23.352,77.000
349,08/06/19 12:59:23 AM,19.817,0.0206,1.2,22.609,80.500
350,08/06/19 01:59:23 AM,19.793,0.0206,1.2,21.915,82.000
351,08/06/19 02:59:23 AM,19.746,0.0206,1.2,19.770,88.900
352,08/06/19 03:59:23 AM,19.698,0.0206,1.2,19.746,95.300
353,08/06/19 04:59:23 AM,19.627,0.0214,1.2,19.770,96.900
354,08/06/19 05:59:23 AM,19.579,0.0206,1.2,19.627,98.000
355,08/06/19 06:59:23 AM,19.508,0.0214,1.2,19.199,98.500
356,08/06/19 07:59:23 AM,19.460,0.0214,1.2,19.080,98.800
357,08/06/19 08:59:23 AM,19.436,0.0214,6.2,19.627,98.600
